"lastname","firstname","articleNum","birthDate","birthMonth","birthDay","zodiac"
"Aaliyah","NA",0,"1979-01-16","1","16","Capricorn"
"Aaron","Hank",46,"1934-02-05","2","5","Aquarius"
"Abacha","Sani",2,"1943-09-20","9","20","Virgo"
"Abbado","Claudio",9,"1933-06-26","6","26","Cancer"
"Abbas","Mahmoud",306,"1935-03-26","3","26","Aries"
"Abdel Rahman","Omar",21,"1938-05-03","5","3","Taurus"
"Abdul-Jabbar","Kareem",11,"1947-04-16","4","16","Aries"
"Abdul-Rauf","Mahmoud",0,"1969-03-09","3","9","Pisces"
"Abdullah II","King of Jordan",1,"1962-01-30","1","30","Aquarius"
"Abdullah","Abdullah",29,"1960-01-01","1","1","Capricorn"
"Abdulmutallab","Umar Farouk",52,"1986-12-22","12","22","Capricorn"
"Abizaid","John P",18,"1951-04-04","4","4","Aries"
"Abraham","Spencer",3,"1952-06-12","6","12","Gemini"
"Abramoff","Jack",180,"1958-02-28","2","28","Pisces"
"Abrams","Elliott",1,"1948-01-24","1","24","Aquarius"
"Abrams","Floyd",7,"1936-07-09","7","9","Cancer"
"Abrams","Robert",2,"1938-07-04","7","4","Cancer"
"Abramson","Jill",19,"1954-03-19","3","19","Pisces"
"Abreu","Bobby",32,"1974-03-11","3","11","Pisces"
"Abu Marzook","Mousa Mohammed",0,"1951-01-09","1","9","Capricorn"
"Abu-Jamal","Mumia",3,"1954-04-24","4","24","Taurus"
"Abubakar","Abdulsalam",0,"1942-06-13","6","13","Gemini"
"Accorsi","Ernie",19,"1941-10-29","10","29","Scorpio"
"Aciman","Andre",1,"1951-01-02","1","2","Capricorn"
"Ackerman","Bruce",3,"1943-08-19","8","19","Leo"
"Ackerman","Gary L",2,"1942-11-19","11","19","Scorpio"
"Ackermann","Josef",12,"1948-02-07","2","7","Aquarius"
"Ackroyd","Peter",9,"1949-10-05","10","5","Libra"
"Adams","Ansel",7,"1902-02-20","2","20","Pisces"
"Adams","Gerry",16,"1948-10-06","10","6","Libra"
"Adams","John Quincy",6,"1767-07-11","7","11","Cancer"
"Ades","Thomas",10,"1971-03-01","3","1","Pisces"
"Adu","Freddy",34,"1989-06-02","6","2","Gemini"
"Affleck","Ben",15,"1972-08-15","8","15","Leo"
"Agassi","Andre",65,"1970-04-29","4","29","Taurus"
"Agbayani","Benny",0,"1971-12-28","12","28","Capricorn"
"Agnelli","Giovanni",1,"1921-01-01","1","1","Capricorn"
"Agnew","Spiro T",0,"1918-11-09","11","9","Scorpio"
"Ahern","Bertie",12,"1951-09-12","9","12","Virgo"
"Ahmadinejad","Mahmoud",389,"1956-10-28","10","28","Scorpio"
"Ahrens","Lynn",10,"1948-10-01","10","1","Libra"
"Ahtisaari","Martti",9,"1937-06-23","6","23","Cancer"
"Aiello","Danny",2,"1933-06-20","6","20","Gemini"
"Aikman","Troy",6,"1966-11-21","11","21","Scorpio"
"Ailes","Roger E",17,"1940-05-15","5","15","Taurus"
"Ailey","Alvin",9,"1931-01-05","1","5","Capricorn"
"Aimard","Pierre-Laurent",16,"1957-09-09","9","9","Virgo"
"Akayev","Askar",12,"1944-11-10","11","10","Scorpio"
"Akers","Karen",6,"1945-10-13","10","13","Libra"
"Akihito","NA",1,"1933-12-23","12","23","Capricorn"
"Akinwande","Henry",0,"1965-10-12","10","12","Libra"
"Al-'Owhali","Mohamed Rashed Daoud",3,"NA","NA","NA","NA"
"Alagna","Roberto",13,"1963-06-07","6","7","Gemini"
"Albee","Edward",23,"1928-03-12","3","12","Pisces"
"Albert","Marv",6,"1941-06-12","6","12","Gemini"
"Albrecht","Chris",12,"1952-07-24","7","24","Leo"
"Albright","Madeleine K",12,"1937-05-15","5","15","Taurus"
"Alcott","Louisa May",7,"1832-11-29","11","29","Sagittarius"
"Alda","Alan",8,"1936-01-28","1","28","Aquarius"
"Aleman","Arnoldo",0,"1946-01-23","1","23","Aquarius"
"Alexander","Jane",4,"1939-10-28","10","28","Scorpio"
"Alexander","Jason",3,"1959-09-23","9","23","Virgo"
"Alexander","Lamar",12,"1940-07-03","7","3","Cancer"
"Alexie","Sherman",7,"1966-10-07","10","7","Libra"
"Alfonsin","Raul",2,"1927-03-12","3","12","Pisces"
"Alfonzo","Edgardo",0,"1973-11-08","11","8","Scorpio"
"Ali","Muhammad",34,"1942-01-17","1","17","Capricorn"
"Alito","Samuel A Jr",148,"1950-04-01","4","1","Aries"
"Aliyev","Heydar",0,"1923-05-10","5","10","Taurus"
"Allawi","Ayad",94,"1945-01-01","1","1","Capricorn"
"Allen","Joan",13,"1956-08-20","8","20","Leo"
"Allen","Paul",8,"1953-01-21","1","21","Aquarius"
"Allen","Robert E",0,"1935-01-01","1","1","Capricorn"
"Allen","Tim",3,"1953-06-13","6","13","Gemini"
"Allen","Woody",53,"1935-12-01","12","1","Sagittarius"
"Allende Gossens","Salvador",0,"1908-06-26","6","26","Cancer"
"Allende","Isabel",8,"1942-08-02","8","2","Leo"
"Allison","Dorothy",0,"1949-04-11","4","11","Aries"
"Almodovar","Pedro",15,"1949-09-25","9","25","Libra"
"Almonte","Danny",4,"1987-04-07","4","7","Aries"
"Alomar","Roberto",4,"1968-02-05","2","5","Aquarius"
"Alou","Felipe",5,"1935-05-12","5","12","Taurus"
"Alou","Moises",36,"1966-07-03","7","3","Cancer"
"Alsop","Marin",13,"1956-10-16","10","16","Libra"
"Alterman","Eric",4,"1960-01-14","1","14","Capricorn"
"Altman","Robert",29,"1925-02-20","2","20","Pisces"
"Altman","Roger C",1,"1946-04-02","4","2","Aries"
"Amanpour","Christiane",7,"1958-01-12","1","12","Capricorn"
"Ambrose","Stephen E",0,"1936-01-10","1","10","Capricorn"
"Amelio","Gilbert F",0,"1943-03-01","3","1","Pisces"
"Ames","Aldrich Hazen",0,"1941-05-26","5","26","Gemini"
"Amin","Idi",5,"1925-01-01","1","1","Capricorn"
"Amir","Yigal",1,"1970-05-23","5","23","Gemini"
"Amis","Martin",14,"1949-08-25","8","25","Virgo"
"Anand","Viswanathan",29,"1969-12-11","12","11","Sagittarius"
