ID,description,price
1,HP ENVY x360 2-in-1 Laptop 15-ew0008np Intel Core i7-1255U/16GB/512GB SSD/RTX2050/Tátil (PT),1863.52
2,Lenovo V15 G2 ITL Intel Core i7-1165G7/16GB/512GB SSD/15.6,969.0
3,Gigabyte AORUS 17 XE4-73ES514SH Intel Core i7-12700H/16GB/1TB SSD/RTX 3070Ti/17.3,2399.0
4,Razer Blade 16 Dual UHD+FHD+ Intel Core i9-13950HX/32GB/1TB SSD/RTX 4070/16,3799.99
5,Asus VivoBook S15 S533FA-BQ108T Intel Core i5-10210U/8GB/256GB SSD/15.6,639.0
6,Dynabook Toshiba Tecra A50-J-1BI Intel Core i5-1135G7/8GB/512GB SSD/15.6,959.0
7,MSI Prestige 14 A12UC-065XES Intel Core i7-1280P/16GB/1TB SSD/RTX3050/14,1499.0
8,Lenovo Legion 5 15ITH6H Intel Core i5-11400H/16GB/512GB SSD/RTX3060/15.6,1319.01
9,Lenovo Legion Y540-15IRH-PG0 Intel Core i7-9750HF/16GB/1TB+512GB SSD/GTX1650/15.6,860.79
10,Asus Rog Strix G15 G512LV-HN221 Intel Core i7-10870H/16GB/1TB SSD/RTX2060/15.6,856.24
11,HP 15S-FQ5042NS Intel Core i7-1255U/8GB/512GB SSD/15.6,901.0
12,Lenovo ThinkPad T14s Gen 2 Intel Core i5-1135G7/16GB/512GB SSD/14,1901.48
13,Acer Aspire 3 A314-36P-30XR Intel Core i3-N305/8GB/512GB SSD/14,599.0
14,Alurin Flex Advance Intel Core i5-1155G7/8GB/500GB SSD/14 + Windows 11 Home,590.0
15,MSI Prestige 16 Studio A13VF-041ES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/16,2239.01
16,Razer Blade 17 QHD 240Hz Intel Core i7-12800H/16GB/1TB SSD/RTX 3070Ti/17.3,3499.99
17,HP 15S-EQ1137NS AMD Athlon Silver 3050U/8GB/256GB SSD/15.6,391.02
18,MSI GE66 Raider 11UH-463XES Intel Core i7-11800H/32GB/1TB SSD/RTX 3080/15.6,1889.29
19,Alurin Go Intel Pentium N4200/8GB/128GB SSD/14.1,385.0
20,Alurin Go Intel Pentium N4200/8GB/128GB SSD/14.1,385.0
21,HP 15S-fq2005ns Intel Core i5-1135G7/8GB/512GB SSD/15.6,421.27
22,Acer Predator Helios 300 PH317-55-74GD Intel Core i7-11800H/16GB/1TB SSD/RTX3060/17.3,1498.14
23,ASUS VivoBook 15 F1502ZA-EJ1119W Intel Core i7-1255U/8GB/512GB SSD/15.6,635.01
24,LG Gram 16Z90R-E.AD75B Intel Evo Core i7-1360P/32GB/512GB SSD/RTX 3050/16,2349.0
25,Lenovo V15 G2 Intel Core i3-1115G4/8GB/256GB SSD/15.6 Negro,495.99
26,LG Gram 15Z90R-G.AD78B Intel Evo Core i7-1360P/32GB/1TB SSD/15,1929.01
27,Lenovo ThinkPad X13s G1 Qualcomm Snapdragon 8cx Gen 3/16GB/256GB SSD/13.3,1997.0
28,MSI Katana 15 B13VEK-030XES Intel Core i7-13620H/16GB/1TB SSD/RTX 4050/15.6,1230.27
29,Deep Gaming Nubian 17 Intel Core i7-13700H/32GB/1TB SSD/RTX 3050/17.3,1549.01
30,Samsung Galaxy Book3 360 Intel Evo Core i5/16GB/512GB SSD/13.3 Táctil + Microsoft 365 Personal 12 Meses Descarga Digital,1561.0
31,Alurin Flex Advance AMD Ryzen 5 5500U/16GB/500GB SSD/15.6,499.0
32,HP Pavilion 14-ec0011ns AMD Ryzen 7 5700U/16GB/512GB SSD/14,899.01
33,HP 255 G8 AMD Ryzen 3 3250U/8 GB/256GB SSD/15.6,379.0
34,Lenovo V15 G2 ITL Intel Core i7-1165G7/16GB/512GB SSD/15.6,969.0
35,Lenovo V15 G2 Intel Core i3-1115G4/8GB/256GB SSD/15.6,443.01
36,Lenovo V15 G2 ITL Intel Core i5-1135G7/8 GB/512 GB SSD/15.6,779.0
37,HP Pavilion Plus 14-eh0008ns Intel Core i7-1255U/16GB/512GB SSD/RTX 2050/14,1729.01
38,Lenovo V15 G2 ITL Intel Core i5-1135G7/8 GB/512 GB SSD/15.6,779.0
39,HP ProBook 450 G6 Intel Core i5-8265U/8GB/256GB SSD/15.6,569.99
40,Gigabyte AORUS 5 SE4-73ES214SD Intel Core i7-12700H/16GB/1TB SSD/RTX 3070/15.6,1949.01
41,HP 15S-FQ4053NS Intel Core i5-1155G7/8GB/256GB SSD/15.6,542.99
42,ASUS F515EA-EJ2198W Intel Core i7-1165G7/16GB/512GB SSD/15.6,749.0
